"The Beatles",0 
"Picture yourself in a boat on a river",6
"With tangerine trees and marmalade skies",11.6
"Somebody calls you, you answer quite slowly",18.7
"A girl with kaleidoscope eyes",24
"Cellophane flowers of yellow and green",32.2
"Towering over your head",37.5
"Look for the girl with the sun in her eyes",42.6
"And she's gone",46.7
"Lucy in the sky with diamonds",50
"Lucy in the sky with diamonds",55
"Lucy in the sky with diamonds, ahh",60
"ahhhhhh",66
"Follow her down to a bridge by a fountain",68.4
"Where rocking horse people eat marshmallow pies",73.6
"Everyone smiles as you drift past the flowers",80.4
"That grow so incredibly high",85.5
"Newspaper taxis appear on the shore",93.4
"Waiting to take you away",98
"Climb in the back with your head in the clouds",103.3
"And you're gone",107
"Lucy in the sky with diamonds",110
"Lucy in the sky with diamonds",115
"Lucy in the sky with diamonds, ahh",120
"ahhhhhh",125
"Picture yourself on a train in a station",129
"With plasticine porters with looking glass ties",134.2
"Suddenly someone is there at the turnstile",141
"The girl with kaleidoscope eyes",146
"Lucy in the sky with diamonds",154
"Lucy in the sky with diamonds",159
"Lucy in the sky with diamonds, ahh",164
"ahhhhh",168.3
"Lucy in the sky with diamonds",173.5
"Lucy in the sky with diamonds",178.5
"Lucy in the sky with diamonds, ahh",183.5
"ahhhhhhhh",188.3
"The End",209
