"The Grateful dead", 0.0
"Dark star crashes", 14.8
"Pouring its light Into ashes", 19.7
"Reason tatters", 25
"The forces tear loose From the axis", 30
"Searchlight casting", 35.3
"For faults in the Clouds of delusion", 40.1
"Shall we go", 45.5
"You and I While we can?", 48.7
"Through The transitive nightfall Of diamonds", 56
"Mirror shatters", 80.1
"In formless reflections Of matter", 84.8
"Glass hand dissolving To ice petal flowers Revolving", 90
"Lady in velvet Recedes In the nights of goodbye", 100.6
"Shall we go", 110.6
"You and I While we can?", 113.4
"Through The transitive nightfall Of diamonds", 120
"The End", 150
