"The rock band jefferson airplane is playing",0
"One pill makes you larger",14.5
"And one pill makes you small",34
"Mother is giving Alice a pill",37.5
"There is Alice in Wonderland. She is ten feet tall",46.3
"Alice in Wonderland is chasing a rabbit",56
"The girl is falling through a hole",60
"a hookah smoking caterpillar, a caterpillar smoking a shisha",65
"the caterpillar is calling with the phone",70
"Alice in wonderland is becoming small",75
"Men are standing on a chessboard. A knight is standing on a chessboard.",85
"The knight is lifting his arm. The knight is giving directions.",88
"The girl is eating a mushroom. There is a weird kind of mushroom.",93
"The girl is thinking really slow.",96
"Alice in Wonderland",101
"When logic and proportion have fallen sloppy dead",110
"The white knight is talking backward",120
"The red queen. The red queen is off with her head.",123
"There is a dormouse. A kind of mouse.",129
"Feed your head, feed your head, feed your head",135
"Alice in Wonderland",150
